kanji,hiragana,romaji,frequency
文一,ふみかず,Fumikazu,2
文也,ふみや,Fumiya,2
秀一,しゅういち,Shuichi,2
秀二,しゅうじ,Shuji,2
秀樹,ひでき,Hideki,2
秀平,しゅうへい,Shuhei,2
秀哉,ひでや,Hideya,3
雄一,ゆういち,Yuichi,1
雄二,ゆうじ,Yuji,2
雄太,ゆうた,Yuta,1
勝,まさる,Masaru,2
勝一,かついち,Katsuichi,3
勝也,かつや,Katsuya,2
勝樹,かつき,Katsuki,2
達,たつ,Tatsu,3
達也,たつや,Tatsuya,2
達郎,たつろう,Tatsuro,2
達樹,たつき,Tatsuki,2
靖,やすし,Yasushi,2
靖一,やすかず,Yasukazu,2
靖也,やすや,Yasuya,2
昭,あきら,Akira,1
武,たけし,Takeshi,2
武一,たけかず,Takekazu,2
武志,たけし,Takeshi,2
武樹,たけき,Takeki,3
英一,えいいち,Eiichi,2
英二,えいじ,Eiji,2
英樹,ひでき,Hideki,2
英太,えいた,Eita,2
英哉,えいや,Eiya,2
将,まさ,Masa,2
将太,しょうた,Shota,1
将平,しょうへい,Shohei,1
洋,ひろし,Hiroshi,2
洋一,よういち,Yoichi,2
洋二,ようじ,Yoji,2
洋之,ひろゆき,Hiroyuki,2
洋平,ようへい,Yohei,2
洋樹,ひろき,Hiroki,2
久,ひさし,Hisashi,2
久一,ひさかず,Hisakazu,2
実,みのる,Minoru,2
実一,みのる,Minoru,3
実樹,みのき,Minoki,5
成,なる,Naru,3
成一,せいいち,Seiichi,2
成也,なるや,Naruya,3
芳一,よしかず,Yoshikazu,2
芳樹,よしき,Yoshiki,2
弘,ひろし,Hiroshi,2
弘一,ひろかず,Hirokazu,3
弘之,ひろゆき,Hiroyuki,2
弘樹,ひろき,Hiroki,2
康,やすし,Yasushi,2
康一,こういち,Koichi,1
康二,こうじ,Koji,1
康平,こうへい,Kohei,1
康樹,こうき,Koki,2
康太,こうた,Kota,1
毅,つよし,Tsuyoshi,2
毅一,つよかず,Tsuyokazu,3
敬,けい,Kei,2
敬一,けいいち,Keiichi,3
敬二,けいじ,Keiji,2
敬司,けいじ,Keiji,2
敬樹,けいき,Keiki,2
悠,ゆう,Yu,1
悠一,ゆういち,Yuichi,1
悠太,ゆうた,Yuta,1
悠平,ゆうへい,Yuhei,2
悠斗,はると,Haruto,1
悠馬,ゆうま,Yuma,1
悠真,ゆうま,Yuma,1
悠人,ゆうと,Yuto,1
悠樹,ゆうき,Yuki,1
悠希,ゆうき,Yuki,1
航,こう,Ko,2
航一,こういち,Koichi,1
航太,こうた,Kota,1
航平,こうへい,Kohei,1
航輝,こうき,Koki,2
航希,こうき,Koki,2
航馬,こうま,Koma,3
航真,こうま,Koma,2
航斗,こうと,Koto,2
航人,こうと,Koto,2
航樹,こうき,Koki,2
颯,そう,So,2
颯太,そうた,Sota,1
颯平,そうへい,Sohei,2
颯輝,さつき,Satsuki,3
颯馬,そうま,Soma,3
颯真,はやま,Hayama,3
颯斗,そうと,Soto,2
颯人,はやと,Hayato,2
陸,りく,Riku,2
陸太,りくた,Rikuta,2
陸人,りくと,Rikuto,2
陸馬,りくま,Rikuma,3
陸真,りくま,Rikuma,2
陸斗,りくと,Rikuto,2
陸樹,りくき,Rikuki,2
瑛,えい,Ei,2
瑛太,えいた,Eita,2
瑛人,えいと,Eito,2
蓮,れん,Ren,2
蓮太,れんた,Renta,2
蓮人,れんと,Rento,1
蓮斗,れんと,Rento,1
蓮樹,れんき,Renki,2
湊,みなと,Minato,1
湊太,みなた,Minata,3
湊斗,みなと,Minato,1
湊人,みなと,Minato,1
奏,かなで,Kanade,2
奏斗,かなと,Kanato,2
奏人,かなと,Kanato,2
奏太,そうた,Sota,1
蒼,そう,So,2
蒼太,そうた,Sota,1
蒼真,そうま,Soma,3
蒼斗,そうと,Soto,2
蒼人,あおと,Aoto,3
蒼樹,あおき,Aoki,3
碧,あお,Ao,2
碧斗,あおと,Aoto,3
碧人,あおと,Aoto,3
暖,だん,Dan,3
暖斗,はると,Haruto,1
暖人,はると,Haruto,1
陽,はる,Haru,2
陽一,よういち,Yoichi,2
陽太,ようた,Yota,2
陽平,ようへい,Yohei,2
陽斗,はると,Haruto,1
陽人,はると,Haruto,1
陽馬,はるま,Haruma,3
陽真,はるま,Haruma,2
陽樹,はるき,Haruki,1
輝,てる,Teru,2
輝一,てるかず,Terukazu,2
輝也,てるや,Teruya,2
輝太,てるた,Teruta,3
輝人,てると,Teruto,2
輝斗,てると,Teruto,2
真,しん,Shin,1
真一,しんいち,Shinichi,2
真二,しんじ,Shinji,2
真也,しんや,Shinya,2
真之,まさゆき,Masayuki,2
真哉,まさや,Masaya,2
真太,しんた,Shinta,2
真平,しんぺい,Shinpei,2
真樹,まさき,Masaki,2
真輝,まさき,Masaki,2
真斗,まさと,Masato,2
真人,まさと,Masato,2
凌,りょう,Ryo,1
凌太,りょうた,Ryota,2
凌平,りょうへい,Ryohei,2
凌斗,りょうと,Ryoto,2
凌人,りょうと,Ryoto,2
奎,けい,Kei,2
奎太,けいた,Keita,2
奎人,けいと,Keito,2
拓,たく,Taku,2
拓一,たくいち,Takuichi,2
拓斗,たくと,Takuto,2
拓樹,たくき,Takuki,2
駿,しゅん,Shun,1
駿一,しゅんいち,Shunichi,2
駿太,しゅんた,Shunta,2
駿樹,しゅんき,Shunki,2
駿平,しゅんぺい,Shunpei,2
駿斗,しゅんと,Shunto,2
海斗,かいと,Kaito,1
海翔,かいと,Kaito,3
海太,かいた,Kaita,2
海人,かいと,Kaito,1
海樹,かいき,Kaiki,2
昊,こう,Ko,3
昊太,こうた,Kota,3
昊人,こうと,Koto,3
空,そら,Sora,2
空太,そらた,Sorata,3
空人,そらと,Sorato,3
凪,なぎ,Nagi,2
凪人,なぎと,Nagito,2
凪斗,なぎと,Nagito,2
玄,げん,Gen,2
玄太,げんた,Genta,2
玄人,げんと,Gento,2
聡,さとし,Satoshi,1
聡一,そういち,Soichi,2
聡太,さとた,Satota,3
聡樹,さとき,Satoki,3
鷹,たか,Taka,3
鷹也,たかや,Takaya,3
鷹樹,たかき,Takaki,3
隼,はやぶさ,Hayabusa,3
隼人,はやと,Hayato,2
隼斗,はやと,Hayato,2
隼太,はやた,Hayata,2
嵐,あらし,Arashi,3
嵐太,らんた,Ranta,3
凛,りん,Rin,2
凛太,りんた,Rinta,2
凛人,りんと,Rinto,2
耀,よう,Yo,3
耀太,ようた,Yota,3
耀人,ようと,Yoto,3
煌,こう,Ko,2
煌太,こうた,Kota,1
煌人,こうと,Koto,2
晃,あきら,Akira,1
晃一,こういち,Koichi,1
晃太,こうた,Kota,1
皓,こう,Ko,2
皓太,こうた,Kota,1
皓人,こうと,Koto,2
律,りつ,Ritsu,2
律太,りつた,Ritsuta,2
律人,りつと,Ritsuto,2
仁,じん,Jin,2
仁一,じんいち,Jinichi,2
仁太,じんた,Jinta,2
優,ゆう,Yu,1
優一,ゆういち,Yuichi,1
優太,ゆうた,Yuta,1
優斗,ゆうと,Yuto,1
優人,ゆうと,Yuto,1
優樹,ゆうき,Yuki,1
優希,ゆうき,Yuki,1
優馬,ゆうま,Yuma,3
晴,はる,Haru,2
晴人,はると,Haruto,1
晴太,はるた,Haruta,2
晴樹,はるき,Haruki,1
晴斗,はると,Haruto,1
楓,かえで,Kaede,3
楓太,ふうた,Futa,3
楓人,かえでと,Kaedeto,3
澄,すみ,Sumi,3
澄人,すみと,Sumito,3
栄,えい,Ei,2
栄一,えいいち,Eiichi,2
栄二,えいじ,Eiji,2
泰,たい,Tai,2
泰一,たいいち,Taiichi,2
泰也,たいや,Taiya,2
泰樹,たいき,Taiki,2
泰平,たいへい,Taihei,2
泰斗,たいと,Taito,2
寿,じゅ,Ju,2
寿一,じゅいち,Juichi,2
寿樹,じゅき,Juki,2
廉,れん,Ren,2
廉太,れんた,Renta,2
廉人,れんと,Rento,1
壮,そう,So,2
壮太,そうた,Sota,1
壮人,そうと,Soto,2
暁,あきら,Akira,1
暁斗,あかと,Akato,3
暁人,あかと,Akato,3
徹,とおる,Toru,3
徹一,てついち,Tetsuichi,2
徹也,てつや,Tetsuya,2
剛,つよし,Tsuyoshi,2
剛一,ごういち,Goichi,2
剛太,ごうた,Gota,2
賢,けん,Ken,1
賢一,けんいち,Kenichi,1
賢太,けんた,Kenta,1
賢樹,けんき,Kenki,2
賢人,けんと,Kento,1
純,じゅん,Jun,2
純一,じゅんいち,Junichi,2
純也,じゅんや,Junya,2
均,ひとし,Hitoshi,2
豊,とよ,Toyo,2
豊一,とよいち,Toyoichi,2
紀,のり,Nori,2
紀一,のりかず,Norikazu,2
紀也,のりや,Noriya,2
章,あきら,Akira,1
章一,しょういち,Shoichi,2
章也,しょうや,Shoya,2
宏,ひろし,Hiroshi,2
宏一,ひろかず,Hirokazu,3
宏之,ひろゆき,Hiroyuki,2
恒,こう,Ko,2
恒一,こういち,Koichi,1
恒也,こうや,Koya,2
至,いたる,Itaru,3
孝,たか,Taka,3
孝一,こういち,Koichi,1
孝之,たかゆき,Takayuki,2
孝樹,たかき,Takaki,3
彰,あきら,Akira,1
彰一,しょういち,Shoichi,2
彰也,あきや,Akiya,2
典,のり,Nori,2
典一,のりかず,Norikazu,2
典也,のりや,Noriya,2
朗,ろう,Ro,3
朗太,ろうた,Rota,3
朗人,ろうと,Roto,3
寛,ひろし,Hiroshi,2
寛一,かんいち,Kanichi,3
寛太,かんた,Kanta,3
直,なおき,Naoki,3
直一,なおいち,Naoichi,3
直也,なおや,Naoya,3
直樹,なおき,Naoki,3
直人,なおと,Naoto,3
努,つとむ,Tsutomu,3
斗,と,To,3
斗真,とうま,Toma,3
亮,りょう,Ryo,1
亮一,りょういち,Ryoichi,2
亮太,りょうた,Ryota,2
亮介,りょうすけ,Ryosuke,2
亮人,りょうと,Ryoto,2
佑,ゆう,Yu,1
佑一,ゆういち,Yuichi,1
佑太,ゆうた,Yuta,1
佑樹,ゆうき,Yuki,1
佑介,ゆうすけ,Yusuke,1
朔,さく,Saku,2
朔太,さくた,Sakuta,2
朔人,さくと,Sakuto,2
勇,いさむ,Isamu,3
勇一,ゆういち,Yuichi,1
勇太,ゆうた,Yuta,1
勇樹,ゆうき,Yuki,1
仁志,ひとし,Hitoshi,2
仁司,じんじ,Jinji,3
仁樹,じんき,Jinki,3
忠,ただし,Tadashi,3
忠一,ちゅういち,Chuichi,3
護,まもる,Mamoru,3
護一,ごいち,Goichi,3
誉,ほまれ,Homare,3
啓,けい,Kei,2
啓一,けいいち,Keiichi,2
啓太,けいた,Keita,2
啓樹,けいき,Keiki,2
啓人,けいと,Keito,2
岳,がく,Gaku,2
岳人,がくと,Gakuto,2
丈,じょう,Jo,3
丈一,じょういち,Joichi,3
丈樹,じょうき,Joki,3
壱,いち,Ichi,3
壱太,いった,Itta,3
凱,がい,Gai,4
凱太,がいた,Gaita,4
礼,れい,Rei,3
礼一,れいいち,Reiichi,3
礼人,れいと,Reito,3
峻,しゅん,Shun,1
峻太,しゅんた,Shunta,2
峻平,しゅんぺい,Shunpei,2
蒼介,そうすけ,Sosuke,2
優介,ゆうすけ,Yusuke,1
翔介,しょうすけ,Shosuke,2
一哉,かずや,Kazuya,2
一輝,かずき,Kazuki,2
一希,かずき,Kazuki,2
一成,かずなり,Kazunari,3
一真,かずま,Kazuma,3
一馬,かずま,Kazuma,3
一平,いっぺい,Ippei,3
一樹,かずき,Kazuki,2
一斗,いっと,Itto,3
海渡,かいと,Kaito,3
蓮渡,れんと,Rento,3
大渡,ひろと,Hiroto,3
光輝,みつき,Mitsuki,3
光平,こうへい,Kohei,1
光太,こうた,Kota,1
光斗,こうと,Koto,2
光人,こうと,Koto,2
太一,たいち,Taichi,3
太輝,たいき,Taiki,2
太希,たいき,Taiki,2
太陽,たいよう,Taiyo,3
太樹,たいき,Taiki,2
龍一,りゅういち,Ryuichi,1
龍二,りゅうじ,Ryuji,2
龍也,りゅうや,Ryuya,2
龍太,りゅうた,Ryuta,1
龍平,りゅうへい,Ryuhei,2
龍輝,りゅうき,Ryuki,2
龍希,りゅうき,Ryuki,2
龍馬,りゅうま,Ryuma,3
龍真,りゅうま,Ryuma,2
龍斗,りゅうと,Ryuto,2
龍人,りゅうと,Ryuto,2
龍樹,りゅうき,Ryuki,2
龍之介,りゅうのすけ,Ryunosuke,3
颯之介,そうのすけ,Sonosuke,3
海之介,かいのすけ,Kainosuke,3
悠之介,ゆうのすけ,Yunosuke,3
大之介,だいのすけ,Dainosuke,3
翔之介,しょうのすけ,Shonosuke,3
蓮之介,れんのすけ,Rennosuke,3
浩平,こうへい,Kohei,1
裕平,ゆうへい,Yuhei,2
誠平,せいへい,Seihei,3
健平,けんぺい,Kenpei,3
俊平,しゅんぺい,Shunpei,2
智平,ともへい,Tomohei,3
和平,かずへい,Kazuhei,3
正平,しょうへい,Shohei,1
信平,のぶひら,Nobuhira,3
幸平,こうへい,Kohei,1
明平,あきひら,Akihira,3
孝太,こうた,Kota,1
孝平,こうへい,Kohei,1
孝輝,こうき,Koki,2
孝斗,こうと,Koto,2
孝人,こうと,Koto,2
孝司,こうじ,Koji,1
彰太,しょうた,Shota,1
彰平,しょうへい,Shohei,1
彰樹,あきき,Akiki,3
彰人,あきと,Akito,2
彰斗,あきと,Akito,2
彰司,しょうじ,Shoji,2
彰二,しょうじ,Shoji,2
竜一,りゅういち,Ryuichi,1
竜二,りゅうじ,Ryuji,2
竜也,りゅうや,Ryuya,2
竜太,りゅうた,Ryuta,1
竜平,りゅうへい,Ryuhei,2
竜輝,りゅうき,Ryuki,2
竜馬,りゅうま,Ryuma,3
竜斗,りゅうと,Ryuto,2
竜人,りゅうと,Ryuto,2
嘉一,よしかず,Yoshikazu,2
嘉人,よしと,Yoshito,2
嘉樹,よしき,Yoshiki,2
嘉太,よした,Yoshita,3
慎一,しんいち,Shinichi,2
慎二,しんじ,Shinji,2
慎也,しんや,Shinya,2
慎太,しんた,Shinta,2
慎平,しんぺい,Shinpei,2
慎樹,しんき,Shinki,2
慎吾,しんご,Shingo,2
慎司,しんじ,Shinji,2
慎之,しんのぶ,Shinnobu,4
健悟,けんご,Kengo,2
翔悟,しょうご,Shogo,2
亮悟,りょうご,Ryogo,2
誠悟,せいご,Seigo,3
淳悟,じゅんご,Jungo,2
哲悟,てつご,Tetsgo,3
光悟,こうご,Kogo,2
篤,あつし,Atsushi,3
篤一,あつかず,Atsukazu,3
篤也,あつや,Atsuya,3
篤司,あつじ,Atsuji,3
篤史,あつし,Atsushi,3
篤樹,あつき,Atsuki,3
篤人,あつと,Atsuto,3
剛平,ごうへい,Gohei,3
剛樹,ごうき,Goki,3
剛史,ごうし,Goshi,3
剛司,ごうじ,Goji,3
剛之,たけゆき,Takeyuki,3
豪,ごう,Go,3
豪一,ごういち,Goichi,2
豪太,ごうた,Gota,2
豪樹,ごうき,Goki,3
豪斗,ごうと,Goto,3
豪人,ごうと,Goto,3
誠太,まことた,Makotota,5
誠斗,まことと,Makototo,5
誠人,まこと,Makoto,1
瑞希,みずき,Mizuki,3
瑞樹,みずき,Mizuki,3
瑞斗,みずと,Mizuto,3
瑞人,みずと,Mizuto,3
瑞生,みずき,Mizuki,3
颯介,そうすけ,Sosuke,2
颯吾,そうご,Sogo,2
颯司,そうじ,Soji,2
蒼吾,そうご,Sogo,2
蒼司,そうじ,Soji,2
陸介,りくすけ,Rikusuke,3
陸吾,りくご,Rikugo,3
湊介,みなとすけ,Minatosuke,2
湊吾,みなとご,Minatogo,2
奏介,かなとすけ,Kanatosuke,5
奏吾,かなとご,Kanatogo,5
晴介,はるすけ,Harusuke,2
晴吾,はるご,Harugo,2
晴司,はるじ,Haruji,3
律介,りつすけ,Ritsusuke,3
律吾,りつご,Ritsugo,3
律司,りつじ,Ritsuji,3
仁介,じんすけ,Jinsuke,3
仁吾,じんご,Jingo,3
礼介,れいすけ,Reisuke,4
礼吾,れいご,Reigo,4
礼司,れいじ,Reiji,4
暁一,あきかず,Akikazu,3
暁也,あきや,Akiya,2
暁太,あきた,Akita,3
暁司,あきじ,Akiji,3
岳一,がくかず,Gakukazu,3
岳司,がくじ,Gakuji,2
岳太,がくた,Gakuta,3
誉一,よいち,Yoichi,4
誉也,よや,Yoya,4
誉太,よた,Yota,4
誉樹,よき,Yoki,4
誉人,よと,Yoto,4
峻一,しゅんかず,Shunkazu,3
峻也,しゅんや,Shunya,2
峻司,しゅんじ,Shunji,2
峻人,しゅんと,Shunto,2
壮介,そうすけ,Sosuke,2
壮司,そうじ,Soji,2
壮吾,そうご,Sogo,2
廉一,れんいち,Renichi,4
廉也,れんや,Renya,2
廉司,れんじ,Renji,4
聡介,そうすけ,Sosuke,2
聡吾,そうご,Sogo,2
聡司,そうじ,Soji,2
聡史,さとし,Satoshi,1
聡平,さとへい,Satohei,3
鷹介,たかすけ,Takasuke,3
鷹司,たかじ,Takaji,3
鷹人,たかと,Takato,3
隼介,はやとすけ,Hayatosuke,4
隼司,はやとじ,Hayatoji,4
嵐一,あらしかず,Arashikazu,4
嵐人,あらしと,Arashito,4
凛介,りんすけ,Rinsuke,3
凛司,りんじ,Rinji,3
凛吾,りんご,Ringo,3
耀介,ようすけ,Yosuke,4
耀司,ようじ,Yoji,2
煌介,こうすけ,Kosuke,2
煌司,こうじ,Koji,1
晃介,こうすけ,Kosuke,2
晃司,こうじ,Koji,1
晃人,こうと,Koto,2
凰介,おうすけ,Osuke,4
凰人,おうと,Oto,4
凰司,おうじ,Oji,4
天一,あまかず,Amakazu,4
天也,あまや,Amaya,4
天司,てんじ,Tenji,4
天人,てんと,Tento,4
天馬,てんま,Tenma,4
天真,てんま,Tenma,4
磨一,まかず,Makazu,4
磨也,まさや,Masaya,3
磨人,まさと,Masato,3
維一,いかず,Ikazu,4
維也,いや,Iya,4
維人,いと,Ito,4
渓一,けいいち,Keiichi,3
渓也,けいや,Keiya,4
渓人,けいと,Keito,3
澄一,すみかず,Sumikazu,4
澄也,すみや,Sumiya,4
泰之,やすゆき,Yasuyuki,2
泰輝,たいき,Taiki,2
泰希,たいき,Taiki,2
泰馬,たいま,Taima,3
泰真,たいま,Taima,2
泰人,たいと,Taito,2
泰吾,たいご,Taigo,2
泰司,たいじ,Taiji,3
泰介,たいすけ,Taisuke,2
廉之,れんのぶ,Rennobu,4
廉樹,れんき,Renki,2
廉輝,れんき,Renki,2
廉馬,れんま,Renma,4
廉真,れんま,Renma,4
廉斗,れんと,Rento,1
寿之,じゅのぶ,Junobu,4
寿希,じゅき,Juki,2
寿馬,じゅうま,Juma,4
寿斗,じゅと,Juto,4
寿吾,じゅご,Jugo,4
寿司,じゅじ,Juji,4
亮,あきら,Akira,1
輝,あきら,Akira,1
映,あきら,Akira,4
皓,あきら,Akira,1
旭,あきら,Akira,4
燦,あきら,Akira,4
浩,ひろし,Hiroshi,2
広,ひろし,Hiroshi,4
紘,ひろし,Hiroshi,4
裕,ひろし,Hiroshi,2
啓,ひろし,Hiroshi,2
真,まこと,Makoto,1
允,まこと,Makoto,4
信,まこと,Makoto,1
孝,たかし,Takashi,1
鷹,たかし,Takashi,1
尚,たかし,Takashi,4
高,たかし,Takashi,4
崇,たかし,Takashi,4
貴,たかし,Takashi,4
剛,たかし,Takashi,1
宇,たかし,Takashi,4
敬,たかし,Takashi,1
和志,かずし,Kazushi,3
一志,かずし,Kazushi,3
一史,かずし,Kazushi,3
和史,かずし,Kazushi,3
一司,かずし,Kazushi,3
和司,かずし,Kazushi,3
圭,けい,Kei,4
恵,けい,Kei,4
慧,けい,Kei,4
景,けい,Kei,4
渓,けい,Kei,4
礼,けい,Kei,2
慶,けい,Kei,4
浩,こう,Kou,2
光,こう,Kou,2
康,こう,Kou,2
孝,こう,Kou,2
幸,こう,Kou,2
晃,こう,Kou,2
功,こう,Kou,4
広,こう,Kou,4
正,しょう,Shou,3
昇,しょう,Shou,4
章,しょう,Shou,3
彰,しょう,Shou,3
将,しょう,Shou,3
勝,しょう,Shou,3
尚,しょう,Shou,4
祥,しょう,Shou,4
渉,しょう,Shou,3
晶,しょう,Shou,4
勇,ゆう,Yuu,1
裕,ゆう,Yuu,1
雄,ゆう,Yuu,1
有,ゆう,Yuu,4
祐,ゆう,Yuu,4
龍,りゅう,Ryuu,2
竜,りゅう,Ryuu,2
隆,りゅう,Ryuu,2
流,りゅう,Ryuu,4
留,りゅう,Ryuu,4
琉,りゅう,Ryuu,4
奏,そう,Sou,2
宗,そう,Sou,4
崇,そう,Sou,4
荘,そう,Sou,4
爽,そう,Sou,4
恋,れん,Ren,4
錬,れん,Ren,4
練,れん,Ren,4
連,れん,Ren,4
春,はる,Haru,4
遥,はる,Haru,4
暖,はる,Haru,2
悠,はる,Haru,2
信,しん,Shin,1
慎,しん,Shin,1
進,しん,Shin,1
伸,しん,Shin,4
心,しん,Shin,4
晋,しん,Shin,4
深,しん,Shin,4
新,しん,Shin,4
健,けん,Ken,1
謙,けん,Ken,4
兼,けん,Ken,4
剣,けん,Ken,4
建,けん,Ken,4
研,けん,Ken,4
憲,けん,Ken,4
堅,けん,Ken,4
拳,けん,Ken,4
輝,ひかる,Hikaru,2
耀,ひかる,Hikaru,2
煌,ひかる,Hikaru,2
晃,ひかる,Hikaru,2
智,さとし,Satoshi,1
悟,さとし,Satoshi,1
哲,さとし,Satoshi,1
諭,さとし,Satoshi,4
識,さとし,Satoshi,4
叡,さとし,Satoshi,4
浄,きよし,Kiyoshi,4
廉,きよし,Kiyoshi,2
潔,きよし,Kiyoshi,4
強,つよし,Tsuyoshi,4
豪,つよし,Tsuyoshi,2
直,ただし,Tadashi,3
規,ただし,Tadashi,4
礼,ただし,Tadashi,3
修,おさむ,Osamu,2
治,おさむ,Osamu,4
収,おさむ,Osamu,4
理,おさむ,Osamu,4
勲,いさむ,Isamu,4
勉,いさむ,Isamu,4
励,いさむ,Isamu,4
武,いさむ,Isamu,4
稔,みのる,Minoru,4
穣,みのる,Minoru,4
稲,みのる,Minoru,4
亘,わたる,Wataru,4
渡,わたる,Wataru,4
航,わたる,Wataru,2
到,いたる,Itaru,4
達,いたる,Itaru,3
格,いたる,Itaru,4
守,まもる,Mamoru,4
衛,まもる,Mamoru,4
保,まもる,Mamoru,4
勧,すすむ,Susumu,4
薦,すすむ,Susumu,4
奨,すすむ,Susumu,4
暁,さとる,Satoru,2
哲,さとる,Satoru,2
智,さとる,Satoru,2
知,さとる,Satoru,4
寿,ひさし,Hisashi,2
悠,ひさし,Hisashi,2
永,ひさし,Hisashi,4
優,まさる,Masaru,2
賢,まさる,Masaru,2
克,まさる,Masaru,4
栄,まさる,Masaru,2
勤,つとむ,Tsutomu,4
勉,つとむ,Tsutomu,4
励,つとむ,Tsutomu,4
仁,ひとし,Hitoshi,2
等,ひとし,Hitoshi,4
斉,ひとし,Hitoshi,4
芳雄,よしお,Yoshio,2
