kanji,hiragana,romaji,frequency
金子,かねこ,Kaneko,3
金城,かねしろ,Kaneshiro,3
金森,かなもり,Kanamori,3
金川,かながわ,Kanagawa,4
金沢,かなざわ,Kanazawa,3
金谷,かなや,Kanaya,4
金田,かなだ,Kanada,3
金田,かねだ,Kaneda,3
九鬼,くき,Kuki,4
窪田,くぼた,Kubota,3
熊谷,くまがい,Kumagai,3
熊谷,くまがや,Kumagaya,3
熊本,くまもと,Kumamoto,3
栗原,くりはら,Kurihara,3
栗山,くりやま,Kuriyama,3
栗田,くりた,Kurita,3
桑原,くわはら,Kuwahara,3
桑田,くわた,Kuwata,3
桑島,くわしま,Kuwashima,3
桑名,くわな,Kuwana,3
群馬,ぐんま,Gunma,5
桂,かつら,Katsura,5
桂田,かつらだ,Katsuraida,4
月田,つきだ,Tsukida,4
元田,もとだ,Motoda,4
元木,もとき,Motoki,4
原,はら,Hara,4
原口,はらぐち,Haraguchi,3
原山,はらやま,Harayama,3
原田,はらだ,Harada,2
原島,はらしま,Harashima,3
原野,はらの,Harano,3
古,ふる,Furu,5
古屋,ふるや,Furuya,3
古賀,こが,Koga,3
古橋,ふるはし,Furuhashi,3
古原,ふるはら,Furuhara,4
古市,ふるいち,Furuichi,4
古川,ふるかわ,Furukawa,3
古谷,ふるや,Furuya,3
古田,ふるた,Furuta,3
古木,ふるき,Furuki,4
古澤,ふるさわ,Furusawa,4
戸崎,とざき,Tozaki,4
戸田,とだ,Toda,3
五十嵐,いがらし,Igarashi,3
吾妻,あがつま,Agatsuma,4
後,ご,Go,4
後藤,ごとう,Goto,1
光,ひかり,Hikari,4
光田,みつだ,Mitsuda,4
光本,みつもと,Mitsumoto,4
向井,むかい,Mukai,3
工藤,くどう,Kudo,2
広,ひろ,Hiro,4
広瀬,ひろせ,Hirose,3
広田,ひろた,Hirota,3
広島,ひろしま,Hiroshima,5
江原,えはら,Ehara,4
江口,えぐち,Eguchi,3
江崎,えざき,Ezaki,4
江川,えがわ,Egawa,3
江田,えだ,Eda,4
溝口,みぞぐち,Mizoguchi,4
甲斐,かい,Kai,3
荒,あら,Ara,5
荒井,あらい,Arai,3
荒川,あらかわ,Arakawa,3
荒地,あらち,Arachi,4
荒田,あらた,Arata,4
荒木,あらき,Araki,3
香川,かがわ,Kagawa,3
高,たか,Taka,5
高井,たかい,Takai,3
高岡,たかおか,Takaoka,3
高橋,たかはし,Takahashi,1
高桑,たかくわ,Takakuwa,3
高見,たかみ,Takami,3
高原,たかはら,Takahara,3
高根,たかね,Takane,3
高坂,たかさか,Takasaka,3
高崎,たかさき,Takasaki,2
高山,たかやま,Takayama,3
高松,たかまつ,Takamatsu,3
高須,たかす,Takasu,3
高瀬,たかせ,Takase,3
高村,たかむら,Takamura,3
高沢,たかさわ,Takasawa,3
高知,こうち,Kochi,5
高津,たかつ,Takatsu,3
高田,たかだ,Takada,3
高田,たかた,Takata,3
高島,たかしま,Takashima,3
高嶋,たかしま,Takashima,3
高畑,たかばたけ,Takabatake,3
高浜,たかはま,Takahama,3
高木,たかぎ,Takagi,2
高野,たかの,Takano,3
黒,くろ,Kuro,5
黒川,くろかわ,Kurokawa,3
黒沢,くろさわ,Kurosawa,3
黒田,くろだ,Kuroda,2
黒木,くろき,Kuroki,3
今井,いまい,Imai,3
今西,いまにし,Imanishi,3
今泉,いまいずみ,Imaizumi,3
今村,いまむら,Imamura,3
今中,いまなか,Imanaka,3
今野,いまの,Imano,3
今野,こんの,Konno,3
今里,いまさと,Imasato,3
根岸,ねぎし,Negishi,3
根本,ねもと,Nemoto,3
佐賀,さが,Saga,3
佐久間,さくま,Sakuma,3
佐々木,ささき,Sasaki,1
佐藤,さとう,Sato,1
佐伯,さえき,Saeki,3
佐野,さの,Sano,3
砂川,すなかわ,Sunakawa,4
斎,さい,Sai,4
斎藤,さいとう,Saito,1
細川,ほそかわ,Hosokawa,4
細田,ほそだ,Hosoda,2
坂,さか,Saka,5
坂井,さかい,Sakai,3
坂元,さかもと,Sakamoto,3
坂口,さかぐち,Sakaguchi,3
坂上,さかのうえ,Sakanoue,3
坂田,さかた,Sakata,3
坂本,さかもと,Sakamoto,2
坂野,さかの,Sakano,4
榊,さかき,Sakaki,4
榊原,さかきばら,Sakakibara,4
崎,さき,Saki,5
埼玉,さいたま,Saitama,5
桜井,さくらい,Sakurai,2
笹山,ささやま,Sasayama,2
三浦,みうら,Miura,1
三河,みかわ,Mikawa,4
三好,みよし,Miyoshi,3
三枝,さえぐさ,Saegusa,4
三上,みかみ,Mikami,3
三石,みいし,Miishi,4
三宅,みやけ,Miyake,3
三沢,みさわ,Misawa,4
三谷,みつや,Mitsuya,4
三田,みた,Mita,4
三田村,みたむら,Mitamura,4
三島,みしま,Mishima,3
三木,みき,Miki,3
三輪,みわ,Miwa,3
山,やま,Yama,5
山浦,やまうら,Yamaura,3
山岡,やまおか,Yamaoka,3
山下,やました,Yamashita,2
山岸,やまぎし,Yamagishi,3
山形,やまがた,Yamagata,5
山元,やまもと,Yamamoto,3
山口,やまぐち,Yamaguchi,1
山根,やまね,Yamane,3
山際,やまぎわ,Yamagiva,3
山崎,やまざき,Yamazaki,1
山城,やましろ,Yamashiro,3
山川,やまかわ,Yamakawa,3
山村,やまむら,Yamamura,3
山端,やまはた,Yamahata,4
山中,やまなか,Yamanaka,2
山田,やまだ,Yamada,1
山内,やまうち,Yamauchi,2
山本,やまもと,Yamamoto,1
山野,やまの,Yamano,3
山路,やまじ,Yamaji,4
讃岐,さぬき,Sanuki,5
四条,しじょう,Shijo,4
四方,しかた,Shikata,4
市,いち,Ichi,4
市丸,いちまる,Ichimaru,4
市原,いちはら,Ichihara,3
市川,いちかわ,Ichikawa,3
志村,しむら,Shimura,4
志摩,しま,Shima,4
紫,むらさき,Murasaki,5
児玉,こだま,Kodama,3
寺田,てらだ,Terada,3
寺内,てらうち,Terauchi,4
滋賀,しが,Shiga,5
鹿児島,かごしま,Kagoshima,5
七条,しちじょう,Shichijo,4
篠原,しのはら,Shinohara,3
篠崎,しのざき,Shinozaki,4
篠田,しのだ,Shinoda,4
柴,しば,Shiba,4
柴田,しばた,Shibata,1
若狭,わかさ,Wakasa,5
若山,わかやま,Wakayama,4
若田,わかた,Wakata,4
若葉,わかば,Wakaba,4
若林,わかばやし,Wakabayashi,3
手塚,てづか,Tezuka,3
酒井,さかい,Sakai,2
周防,すおう,Suo,5
秋,あき,Aki,4
秋元,あきもと,Akimoto,3
秋山,あきやま,Akiyama,3
秋田,あきた,Akita,3
住田,すみた,Sumita,3
十川,とがわ,Togawa,3
渋谷,しぶや,Shibuya,3
出井,でい,Dei,4
出羽,でわ,Dewa,5
出雲,いずも,Izumo,4
出口,でぐち,Deguchi,4
出水,いずみ,Izumi,4
春,はる,Haru,4
春田,はるた,Haruta,4
春日,かすが,Kasuga,4
駿河,するが,Suruga,5
緒方,おがた,Ogata,4
諸田,もろた,Morota,4
小,こ,Ko,5
小笠原,おがさわら,Ogasawara,4
小久保,こくぼ,Kokubo,3
小原,おはら,Ohara,3
小原,こはら,Kohara,3
小坂,こさか,Kosaka,3
小笹,おざさ,Ozasa,4
小山,こやま,Koyama,3
小山田,おやまだ,Oyamada,4
小出,こいで,Koide,3
小松,こまつ,Komatsu,3
小森,こもり,Komori,3
小菅,こすげ,Kosuge,3
小西,こにし,Konishi,3
小川,おがわ,Ogawa,1
小泉,こいずみ,Koizumi,3
小倉,おぐら,Ogura,3
小沢,おざわ,Ozawa,3
小谷,こたに,Kotani,3
小池,こいけ,Koike,3
小田,おだ,Oda,3
小島,こじま,Kojima,3
小嶋,こじま,Kojima,3
小畑,おばた,Obata,3
小堀,こぼり,Kobori,4
小俣,こまた,Komata,4
小野,おの,Ono,1
小野寺,おのでら,Onodera,3
小柳,こやなぎ,Koyanagi,4
小林,こばやし,Kobayashi,1
小澤,おざわ,Ozawa,4
庄司,しょうじ,Shoji,4
松,まつ,Matsu,5
松井,まつい,Matsui,3
松浦,まつうら,Matsuura,3
松永,まつなが,Matsunaga,3
松岡,まつおか,Matsuoka,3
松下,まつした,Matsushita,3
松宮,まつみや,Matsumiya,4
松原,まつばら,Matsubara,3
松坂,まつざか,Matsuzaka,3
松崎,まつざき,Matsuzaki,3
松山,まつやま,Matsuyama,3
松城,まつしろ,Matsushiro,4
松前,まつまえ,Matsumae,4
松村,まつむら,Matsumura,3
松谷,まつたに,Matsutani,3
松田,まつだ,Matsuda,1
松島,まつしま,Matsushima,3
松尾,まつお,Matsuo,3
松本,まつもと,Matsumoto,1
松野,まつの,Matsuno,3
松葉,まつば,Matsuba,4
松澤,まつざわ,Matsuzawa,4
沼田,ぬまた,Numata,3
上,かみ,Kami,5
上原,うえはら,Uehara,3
上山,うえやま,Ueyama,3
上松,うえまつ,Uematsu,4
上杉,うえすぎ,Uesugi,3
上川,かみかわ,Kamikawa,3
上村,うえむら,Uemura,3
上村,かみむら,Kamimura,2
上田,うえだ,Ueda,3
上木,うえき,Ueki,4
上野,うえの,Ueno,3
上林,かんばやし,Kanbayashi,4
城戸,きど,Kido,4
城田,しろた,Shirota,4
常盤,ときわ,Tokiwa,4
常陸,ひたち,Hitachi,5
植田,うえだ,Ueda,4
植木,うえき,Ueki,4
信濃,しなの,Shinano,5
新,しん,Shin,4
新井,あらい,Arai,3
新居,にい,Nii,4
新庄,しんじょう,Shinjo,3
新城,しんじょう,Shinjo,3
新谷,しんたに,Shintani,4
新田,にった,Nitta,3
新田,あらた,Arata,3
新名,しんみょう,Shinmyo,4
森,もり,Mori,2
森岡,もりおか,Morioka,3
森下,もりした,Morishita,3
森山,もりやま,Moriyama,3
森川,もりかわ,Morikawa,3
森田,もりた,Morita,2
森内,もりうち,Moriuchi,3
森本,もりもと,Morimoto,2
森脇,もりわき,Moriwaki,4
深,ふか,Fuka,5
深山,みやま,Miyama,4
深水,ふかみ,Fukami,4
深沢,ふかさわ,Fukasawa,3
深谷,ふかや,Fukaya,2
深田,ふかた,Fukata,3
真田,さなだ,Sanada,3
真鍋,まなべ,Manabe,4
神,かみ,Kami,4
神原,かんばら,Kanbara,4
神崎,かんざき,Kanzaki,3
神山,かみやま,Kamiyama,3
神谷,かみや,Kamiya,3
神田,かんだ,Kanda,3
神奈川,かながわ,Kanagawa,5
神野,かみの,Kamino,4
仁科,にしな,Nishina,4
須田,すだ,Suda,3
須藤,すとう,Suto,3
須藤,すどう,Sudo,3
水谷,みずたに,Mizutani,3
水津,みずつ,Mizutsu,4
水島,みずしま,Mizushima,3
水木,みずき,Mizuki,4
水野,みずの,Mizuno,3
杉,すぎ,Sugi,5
杉浦,すぎうら,Sugiura,3
杉原,すぎはら,Sugihara,3
杉崎,すぎざき,Sugizaki,4
杉山,すぎやま,Sugiyama,3
杉田,すぎた,Sugita,3
杉本,すぎもと,Sugimoto,3
杉野,すぎの,Sugino,4
菅,すが,Suga,5
菅,かん,Kan,5
菅原,すがわら,Sugawara,3
菅野,かんの,Kanno,3
菅野,すがの,Sugano,3
雀,すずめ,Suzume,5
瀬,せ,Se,5
瀬戸,せと,Seto,3
成瀬,なるせ,Naruse,3
成清,なりきよ,Narikyo,4
成田,なりた,Narita,3
星,ほし,Hoshi,3
星野,ほしの,Hoshino,3
正,まさ,Masa,5
正木,まさき,Masaki,3
清家,せいけ,Seike,3
清水,しみず,Shimizu,1
清田,きよた,Kiyota,3
清野,きよの,Kiyono,3
生田,いくた,Ikuta,3
生島,いきしま,Ikishima,4
西,にし,Nishi,5
西岡,にしおか,Nishioka,3
西原,にしはら,Nishihara,3
西崎,にしざき,Nishizaki,3
西山,にしやま,Nishiyama,3
西城,さいじょう,Saijo,4
西川,にしかわ,Nishikawa,3
西側,にしがわ,Nishigawa,4
西村,にしむら,Nishimura,1
西沢,にしざわ,Nishizawa,3
西谷,にしたに,Nishitani,3
西田,にしだ,Nishida,3
西島,にしじま,Nishijima,3
西尾,にしお,Nishio,3
西本,にしもと,Nishimoto,3
西野,にしの,Nishino,3
青,あお,Ao,5
青山,あおやま,Aoyama,3
青森,あおもり,Aomori,3
青田,あおた,Aota,4
青木,あおき,Aoki,1
青柳,あおやぎ,Aoyagi,4
静岡,しずおか,Shizuoka,5
斉藤,さいとう,Saito,1
石,いし,Ishi,5
石井,いしい,Ishii,2
石浦,いしうら,Ishiura,4
石岡,いしおか,Ishioka,4
石垣,いしがき,Ishigaki,4
石丸,いしまる,Ishimaru,4
石橋,いしばし,Ishibashi,3
石見,いわみ,Iwami,4
石原,いしはら,Ishihara,3
石黒,いしぐろ,Ishiguro,4
石崎,いしざき,Ishizaki,3
石山,いしやま,Ishiyama,2
石若,いしわか,Ishiwaka,4
石神,いしがみ,Ishigami,4
石川,いしかわ,Ishikawa,1
石塚,いしづか,Ishizuka,3
石田,いしだ,Ishida,3
石本,いしもと,Ishimoto,3
赤,あか,Aka,5
赤松,あかまつ,Akamatsu,4
赤池,あかいけ,Akaike,4
赤木,あかぎ,Akagi,4
摂津,せっつ,Settsu,5
雪村,ゆきむら,Yukimura,4
仙崎,せんざき,Senzaki,4
仙田,せんだ,Senda,3
仙波,せんば,Semba,4
千代,ちよ,Chiyo,4
千田,ちだ,Chida,3
千田,せんだ,Senda,3
千葉,ちば,Chiba,3
川,かわ,Kawa,5
川下,かわしも,Kawashimo,4
川岸,かわぎし,Kawagishi,4
川原,かわはら,Kawahara,3
川口,かわぐち,Kawaguchi,2
川合,かわい,Kawai,4
川崎,かわさき,Kawasaki,3
川上,かわかみ,Kawakami,3
川村,かわむら,Kawamura,3
川端,かわばた,Kawabata,3
川田,かわた,Kawata,3
川島,かわしま,Kawashima,3
川平,かわひら,Kawahira,4
川本,かわもと,Kawamoto,3
川又,かわまた,Kawamata,4
川野,かわの,Kawano,3
泉,いずみ,Izumi,3
浅井,あさい,Asai,3
浅井,あざい,Azai,3
浅川,あさかわ,Asakawa,3
浅倉,あさくら,Asakura,3
浅田,あさだ,Asada,3
浅野,あさの,Asano,3
船山,ふなやま,Funayama,4
前原,まえはら,Maehara,3
前川,まえかわ,Maekawa,3
前中,まえなか,Maenaka,4
前田,まえだ,Maeda,1
前野,まえの,Maeno,3
曽我,そが,Soga,4
倉橋,くらはし,Kurahashi,4
倉田,くらた,Kurata,3
倉本,くらもと,Kuramoto,3
早川,はやかわ,Hayakawa,3
早田,はやた,Hayata,3
相沢,あいざわ,Aizawa,4
相馬,そうま,Soma,3
相模,さがみ,Sagami,4
総,ふさ,Fusa,5
草野,くさの,Kusano,4
増田,ますだ,Masuda,3
足立,あだち,Adachi,3
村,むら,Mura,4
村井,むらい,Murai,3
村岡,むらおか,Muraoka,3
村山,むらやま,Murayama,3
村松,むらまつ,Muramatsu,3
村上,むらかみ,Murakami,1
村瀬,むらせ,Murase,3
村中,むらなか,Muranaka,4
村田,むらた,Murata,3
村本,むらもと,Muramoto,3
村木,むらき,Muraki,4
多田,ただ,Tada,4
多田,おおた,Ota,4
太田,おおた,Ota,3
台,だい,Dai,5
大,おお,O,5
大浦,おおうら,Oura,4
大岡,おおおか,Ooka,4
大屋,おおや,Oya,4
大賀,おおが,Oga,4
大関,おおせき,Oseki,4
大館,おおだて,Odate,4
大久保,おおくぼ,Okubo,3
大宮,おおみや,Omiya,4
大橋,おおはし,Ohashi,3
大月,おおつき,Otsuki,4
大原,おおはら,Ohara,3
大阪,おおさか,Osaka,5
大崎,おおさき,Osaki,3
大山,おおやま,Oyama,3
大沼,おおぬま,Onuma,4
大城,おおしろ,Oshiro,4
大場,おおば,Oba,4
大森,おおもり,Omori,3
大西,おおにし,Onishi,3
大石,おおいし,Oishi,3
大川,おおかわ,Okawa,3
大倉,おおくら,Okura,3
大村,おおむら,Omura,3
大沢,おおさわ,Osawa,3
大谷,おおたに,Otani,3
大竹,おおたけ,Otake,3
大塚,おおつか,Otsuka,1
大槻,おおつき,Otsuki,3
大庭,おおば,Oba,3
大田,おおた,Ota,3
大島,おおしま,Oshima,3
大東,おおひがし,Ohigashi,4
大内,おおうち,Ouchi,4
大分,おおいた,Oita,4
大平,おおひら,Ohira,3
大本,おおもと,Omoto,4
大木,おおき,Oki,4
大野,おおの,Ono,3
大矢,おおや,Oya,4
大林,おおばやし,Obayashi,4
大和,やまと,Yamato,4
鷹野,たかの,Takano,4
滝,たき,Taki,4
滝沢,たきざわ,Takizawa,3
瀧,たき,Taki,4
沢,さわ,Sawa,5
沢田,さわだ,Sawada,3
但馬,たじま,Tajima,5
辰巳,たつみ,Tatsumi,4
棚橋,たなはし,Tanahashi,4
棚田,たなだ,Tanada,4
谷,たに,Tani,5
谷口,たにぐち,Taniguchi,3
谷山,たにやま,Taniyama,3
谷川,たにがわ,Tanigawa,3
谷田,たにだ,Tanida,3
谷本,たにもと,Tanimoto,3
谷野,たにの,Tanino,3
丹羽,にわ,Niwa,4
丹後,たんご,Tango,5
丹波,たんば,Tanba,5
池,いけ,Ike,5
池山,いけやま,Ikeyama,4
池上,いけがみ,Ikegami,3
池谷,いけや,Ikeya,4
池田,いけだ,Ikeda,1
池本,いけもと,Ikemoto,3
池野,いけの,Ikeno,4
竹,たけ,Take,5
竹井,たけい,Takei,3
竹下,たけした,Takeshita,3
竹山,たけやま,Takeyama,3
竹村,たけむら,Takemura,3
竹中,たけなか,Takenaka,3
竹田,たけだ,Takeda,3
竹島,たけしま,Takeshima,4
竹内,たけうち,Takeuchi,3
竹本,たけもと,Takemoto,3
中,なか,Naka,5
中井,なかい,Nakai,3
中岡,なかおか,Nakaoka,3
中垣,なかがき,Nakagaki,3
中元,なかもと,Nakamoto,3
中原,なかはら,Nakahara,3
中根,なかね,Nakane,3
中山,なかやま,Nakayama,3
中条,なかじょう,Nakajo,4
中西,なかにし,Nakanishi,3
中川,なかがわ,Nakagawa,3
中村,なかむら,Nakamura,1
中沢,なかざわ,Nakazawa,3
中谷,なかたに,Nakatani,3
中辻,なかつじ,Nakatsuji,4
中田,なかた,Nakata,3
中島,なかじま,Nakajima,3
中島,なかしま,Nakashima,1
中嶋,なかじま,Nakajima,3
中道,なかみち,Nakamichi,4
中尾,なかお,Nakao,4
中峰,なかみね,Nakamine,4
中本,なかもと,Nakamoto,3
中野,なかの,Nakano,3
中里,なかさと,Nakasato,4
中林,なかばやし,Nakabayashi,4
中澤,なかざわ,Nakazawa,3
仲,なか,Naka,5
仲村,なかむら,Nakamura,4
仲田,なかた,Nakata,4
猪口,いのぐち,Inoguchi,4
朝,あさ,Asa,5
町田,まちだ,Machida,3
長岡,ながおか,Nagaoka,3
長坂,ながさか,Nagasaka,4
長崎,ながさき,Nagasaki,3
長瀬,ながせ,Nagase,2
長沢,ながさわ,Nagasawa,4
長谷,はせ,Hase,4
長谷川,はせがわ,Hasegawa,2
長谷部,はせべ,Hasebe,4
長田,ながた,Nagata,3
長島,ながしま,Nagashima,3
長嶋,ながしま,Nagashima,3
長尾,ながお,Nagao,3
長浜,ながはま,Nagahama,3
長門,ながと,Nagato,4
長野,ながの,Nagano,3
鳥羽,とば,Toba,4
鳥居,とりい,Torii,4
鳥山,とりやま,Toriyama,2
鳥取,とっとり,Tottori,5
津,つ,Tsu,4
津田,つだ,Tsuda,2
津島,つしま,Tsushima,4
椎名,しいな,Shiina,4
塚田,つかだ,Tsukada,4
塚本,つかもと,Tsukamoto,2
辻,つじ,Tsuji,2
辻井,つじい,Tsujii,2
辻田,つじた,Tsujita,4
辻本,つじもと,Tsujimoto,2
坪,つぼ,Tsubo,4
坪田,つぼた,Tsubota,4
鶴田,つるた,Tsuruta,4
堤,つつみ,Tsutsumi,4
天,あま,Ama,5
天野,あまの,Amano,3
田,た,Ta,5
田巻,たまき,Tamaki,4
田丸,たまる,Tamaru,4
田宮,たみや,Tamiya,4
田原,たはら,Tahara,3
田口,たぐち,Taguchi,2
田坂,たさか,Tasaka,4
田所,たどころ,Tadokoro,4
田上,たがみ,Tagami,4
田村,たむら,Tamura,1
田代,たしろ,Tashiro,4
田端,たばた,Tabata,4
田中,たなか,Tanaka,1
